channel,x,y,z
GND,-0.17,128.5,24.95
1Z,-1.58,128.77,58.08
3Z,-2.88,90.57,122.04
5Z,-2.85,26.68,153.0
7Z,-5.12,-47.49,143.02
9Z,-3.15,-87.45,77.31
2L,-39.4,120.1,70.42
4L,-35.54,78.0,128.13
6L,-30.55,14.9,150.84
8L,-33.88,-55.76,125.96
10L,-42.73,-81.76,53.33
1R,24.01,125.22,32.92
3R,57.27,75.88,98.56
5R,29.6,41.54,143.99
7R,31.88,-25.89,148.61
9R,33.34,-76.47,100.3
11R,39.95,-73.8,30.49
1LA,-63.12,77.3,96.67
3LA,-59.99,8.85,132.81
1LB,-54.6,111.53,44.57
3LB,-77.71,44.6,74.91
5LB,-65.81,-29.48,113.01
2LC,-79.22,55.29,34.49
4LC,-80.46,-24.9,72.02
1LD,-78.64,66.87,-2.78
3LD,-75.56,-32.77,20.85
1RA,57.36,75.47,99.25
3RA,53.78,7.4,136.96
1RB,52.48,106.96,45.02
3RB,72.95,42.86,81.64
5RB,63.37,-30.93,119.53
1RC,63.22,89.6,24.94
3RC,76.33,13.79,72.13
5RC,60.95,-58.68,94.03
1RD,67.18,60.67,3.57
3RD,68.95,-32.66,31.7
2Z,-2.27,114.92,93.88
4Z,-3.95,58.59,143.01
6Z,-4.47,-10.57,156.59
8Z,-4.13,-72.9,114.04
1L,-28.2,131.16,33.31
3L,-35.13,101.49,110.18
5L,-36.15,44.0,143.78
7L,-33.75,-23.75,148.74
9L,-34.2,-76.19,94.81
11L,-48.45,-70.78,20.12
2R,40.84,110.31,68.03
4R,35.38,65.61,128.32
6R,30.46,7.71,151.33
8R,32.74,-54.9,129.33
10R,38.09,-81.85,60.56
2LA,-68.16,44.13,116.66
2LB,-67.85,85.69,56.68
4LB,-79.18,8.02,94.1
1LC,-69.2,92.14,22.42
2RC,72.1,52.84,40.09
4RC,75.53,-26.66,81.1
3LC,-82.88,17.64,63.59
5LC,-60.84,-55.76,84.9
2LD,-83.86,34.0,-5.38
4LD,-65.12,-57.5,40.0
2RA,61.26,41.12,120.02
2RB,66.88,81.22,61.05
4RB,73.2,5.28,100.81
2RD,71.15,28.4,1.47
4RD,61.0,-61.78,52.15
Nasion,-0.0,113.59,0.0
LeftEar,-75.81,0.0,0.0
RightEar,72.79,0.0,0.0
